"광주","7월",587,6,940,639,7,1093,658,5,1077,577,3,930,700,6,1056
"광주","8월",625,5,949,639,5,1064,690,8,1100,642,6,1019,622,4,958
"광주","9월",703,12,1120,643,4,1009,743,3,1178,633,4,942,615,4,924
"광주","10월",635,13,1062,666,12,1053,726,4,1122,705,8,1117,666,3,1064
"광주","11월",647,10,1016,672,7,1009,797,6,1289,651,8,1033,711,10,1020
"광주","12월",647,8,1038,655,4,1013,762,3,1217,630,3,973,647,3,925
"대전","전체",7767,86,11798,7554,93,11432,8337,77,12649,7215,66,10636,7027,59,10175
"대전","1월",628,5,951,547,11,805,604,6,917,566,8,866,519,2,765
"대전","2월",546,6,866,567,7,882,590,6,887,600,5,876,520,4,763
"대전","3월",586,7,895,599,9,901,670,4,1006,535,6,782,589,6,910
"대전","4월",597,2,935,622,8,877,697,5,1029,593,6,868,604,3,860
"대전","5월",686,11,1002,630,11,940,816,10,1216,638,8,954,596,3,851
"대전","6월",641,8,954,645,5,1036,684,3,1037,644,6,907,565,4,795
"대전","7월",658,4,1028,617,4,942,706,10,1054,636,6,908,644,7,919
"대전","8월",702,8,1051,673,6,1022,731,7,1138,564,6,840,556,5,826
"대전","9월",665,7,995,623,9,942,658,7,1028,624,5,927,615,9,830
"대전","10월",673,12,1018,684,11,1028,777,5,1206,614,2,923,649,9,953
"대전","11월",700,5,1016,709,6,1068,718,9,1096,650,7,982,603,4,882
"대전","12월",685,11,1087,638,6,989,686,5,1035,551,1,803,567,3,821
"울산","전체",4265,64,6127,3992,79,5777,4347,55,6301,3834,51,5444,3801,50,5238
"울산","1월",329,6,497,341,8,461,287,3,401,333,4,460,272,0,375
"울산","2월",308,7,469,313,5,445,273,3,392,286,6,410,262,5,345
"울산","3월",331,3,474,364,10,468,336,6,454,293,4,404,355,6,509
"울산","4월",370,6,553,330,7,518,355,7,521,307,10,448,331,2,439
"울산","5월",353,5,496,318,9,460,408,3,587,299,2,404,307,5,417
"울산","6월",327,4,444,337,6,476,366,5,555,334,6,491,338,3,453
"울산","7월",375,5,550,297,5,435,376,2,566,320,5,467,356,6,491
"울산","8월",343,2,500,328,8,465,375,3,555,339,2,502,299,6,404
"울산","9월",370,9,529,318,6,492,364,3,525,309,3,434,329,3,479
"울산","10월",349,3,482,390,4,595,417,8,563,331,3,485,345,3,487
"울산","11월",381,4,551,336,8,495,407,3,579,365,4,512,300,6,420
"울산","12월",429,10,582,320,3,467,383,9,603,318,2,427,307,5,419
"세종","전체",746,18,1107,795,20,1142,922,15,1301,813,7,1076,788,16,1031
"세종","1월",35,2,56,57,4,88,66,0,90,73,0,109,55,1,66
"세종","2월",41,2,70,73,0,115,67,0,94,66,0,84,50,8,76
"세종","3월",46,1,83,81,4,106,83,2,106,74,3,83,50,0,60
"세종","4월",64,0,89,88,2,112,77,1,115,46,0,64,82,0,110
"세종","5월",62,1,91,76,2,120,75,2,99,62,1,87,77,0,106
"세종","6월",53,1,66,69,3,106,83,3,101,61,0,81,71,2,87
"세종","7월",57,1,74,62,0,85,76,1,122,57,1,79,70,1,93
"세종","8월",66,3,94,52,1,85,79,1,115,51,0,65,62,0,88
"세종","9월",98,1,139,50,4,61,76,1,115,94,0,126,58,0,76
"세종","10월",74,2,142,65,0,90,90,1,130,79,1,110,67,3,81
"세종","11월",68,2,91,65,0,91,82,3,107,79,0,102,71,0,91
"세종","12월",82,2,112,57,0,83,68,0,107,71,1,86,75,1,97
"경기","전체",50627,784,77551,53448,678,81174,55463,631,84508,52391,612,77679,53332,537,78225
"경기","1월",4172,74,6438,4405,61,6760,4093,70,6087,4081,71,6313,3890,42,5748
"경기","2월",3359,55,5158,4327,44,6804,3582,46,5655,4213,52,6313,3819,31,5731
"경기","3월",3805,52,5743,3932,56,5925,4335,50,6658,3730,52,5610,4282,35,6343
"경기","4월",4051,60,6253,4327,52,6593,4535,52,6910,4129,41,6172,4444,42,6582
"경기","5월",4160,57,6316,4445,60,6751,4985,60,7666,4522,45,6735,4485,52,6583
"경기","6월",4197,58,6342,4397,56,6441,4513,45,6950,4673,55,6881,4555,37,6751
"경기","7월",4165,82,6382,4610,51,7132,4569,38,6859,4645,48,6907,4638,46,6741
"경기","8월",4320,64,6738,4359,67,6724,4670,37,7286,4142,55,6211,4285,45,6307
"경기","9월",4714,84,7247,4504,59,6970,4626,55,6991,4504,62,6496,4531,43,6626
"경기","10월",4464,67,6978,4845,61,7178,5392,61,8209,4731,53,7011,4855,63,7031
"경기","11월",4732,66,7234,4765,46,7141,5226,54,7859,4710,46,6934,4819,48,6934
"경기","12월",4488,65,6722,4532,65,6755,4937,63,7378,4311,32,6096,4729,53,6848
"강원","전체",8316,236,13532,7498,197,11922,7554,185,11752,7039,133,10779,6605,145,10221
"강원","1월",718,26,1237,588,13,937,535,18,858,617,5,990,455,12,670
"강원","2월",499,4,820,522,9,913,457,10,761,501,4,730,429,12,674
"강원","3월",618,13,975,526,19,821,557,12,849,478,9,707,506,9,733
"강원","4월",677,14,1080,593,19,901,582,19,861,505,8,759,534,9,808
"강원","5월",750,27,1208,662,14,1025,651,15,1016,618,10,934,565,15,880
"강원","6월",680,16,1102,635,13,983,621,9,959,684,10,1046,626,13,963
"강원","7월",748,28,1219,663,14,1089,712,19,1083,630,13,1035,664,9,1081
"강원","8월",780,26,1366,717,20,1208,774,13,1272,627,18,994,569,11,950
"강원","9월",750,25,1161,683,20,1109,640,22,991,629,17,916,568,10,822
"강원","10월",706,24,1192,678,21,1027,704,16,1069,652,14,1002,619,15,1030
"강원","11월",746,18,1137,654,14,1034,688,16,1071,609,12,954,563,16,892
"강원","12월",644,15,1035,577,21,875,633,16,962,489,13,712,507,14,718
