"충북","전체",8398,171,13238,7985,160,12135
"충북","1월",648,10,1026,560,5,865
"충북","2월",630,9,1006,545,8,849
"충북","3월",597,16,924,649,12,968
"충북","4월",697,14,1087,666,18,1029
"충북","5월",699,11,1132,717,14,1091
"충북","6월",755,8,1222,707,22,1052
"충북","7월",721,12,1096,775,11,1185
"충북","8월",721,20,1123,617,9,946
"충북","9월",759,23,1184,698,11,1044
"충북","10월",802,18,1338,728,23,1102
"충북","11월",768,15,1199,692,14,1063
"충북","12월",601,15,901,631,13,941
"충남","전체",8952,261,13381,8423,265,12197
"충남","1월",714,27,1071,550,16,752
"충남","2월",619,17,900,587,16,874
"충남","3월",586,26,875,641,14,945
"충남","4월",651,19,1031,785,24,1152
"충남","5월",786,18,1192,725,21,1045
"충남","6월",827,17,1229,730,22,1074
"충남","7월",754,24,1116,735,24,1080
"충남","8월",766,25,1174,685,25,966
"충남","9월",829,21,1203,747,27,1085
"충남","10월",921,28,1358,811,29,1170
"충남","11월",774,24,1152,770,22,1120
"충남","12월",725,15,1080,657,25,934
"전북","전체",6451,220,9778,6112,193,8906
"전북","1월",573,20,854,428,8,634
"전북","2월",482,16,743,423,14,620
"전북","3월",489,18,746,530,15,797
"전북","4월",511,11,748,506,17,730
"전북","5월",544,17,828,502,19,721
"전북","6월",580,18,897,516,18,755
"전북","7월",553,21,876,577,17,870
"전북","8월",537,20,876,490,19,743
"전북","9월",579,20,856,521,14,741
"전북","10월",612,22,886,588,18,843
"전북","11월",556,21,835,577,23,811
"전북","12월",435,16,633,454,11,641
"전남","전체",9816,273,15645,8685,255,13522
"전남","1월",836,20,1326,591,25,920
"전남","2월",709,21,1123,612,11,971
"전남","3월",764,20,1210,727,20,1093
"전남","4월",705,11,1107,726,19,1140
"전남","5월",874,25,1453,745,21,1178
"전남","6월",963,29,1568,750,19,1217
"전남","7월",764,17,1247,770,23,1208
"전남","8월",831,28,1342,748,18,1193
"전남","9월",869,24,1358,738,28,1169
"전남","10월",924,30,1477,823,23,1259
"전남","11월",799,16,1220,760,30,1161
"전남","12월",778,32,1214,695,18,1013
"경북","전체",12673,354,18723,12100,334,17690
